Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2023-09-19 18:13:32,US5184391044,EL,Estee Lauder,,EOF3650798294,0.2107522000,151.8100000000,USD,1.06825681,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-19 18:14:02,US78409V1044,SPGI,S&P Global,,EOF3650798331,0.1098373000,388.4500000000,USD,1.06825986,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-19 18:14:45,US92826C8394,V,Visa,,EOF3650798366,0.2195721000,242.8700000000,USD,1.06825873,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-19 18:15:42,US8826811098,TXRH,Texas Roadhouse,,EOF3650798402,0.3203260000,99.8700000000,USD,1.06814549,,,29.99,EUR,,,0.04,EUR,,
Interest on cash,2023-09-19 21:08:35,,,,Interest on cash,3bfbaa4c-48d0-4bf6-b8bf-151df53e25e7,,,,,,,0.04,EUR,,,,,,
Market buy,2023-09-20 16:25:36,US0378331005,AAPL,Apple,,EOF3700738784,0.3020019000,177.3800000000,USD,1.07309889,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-20 18:10:30,US9256521090,VICI,VICI Properties,,EOF3700748873,1.3839990000,30.8300000000,USD,1.06831970,,,40.00,EUR,,,0.06,EUR,,
Interest on cash,2023-09-20 21:09:23,,,,Interest on cash,67d0e31a-b2da-43e4-92f2-9f17d0d8801e,,,,,,,0.04,EUR,,,,,,
Limit buy,2023-09-21 07:23:05,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3701720233,0.0700000000,724.6000000000,EUR,1.00000000,,,50.87,EUR,,,,,0.15,EUR
Market buy,2023-09-21 14:18:32,US0378331005,AAPL,Apple,,EOF3750128916,0.2419421000,175.8900000000,USD,1.06547811,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 14:19:00,US1696561059,CMG,Chipotle Mexican Grill,,EOF3750129024,0.0224409300,1896.3200000000,USD,1.06547782,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 14:19:08,US22160K1051,COST,Costco Wholesale,,EOF3750129043,0.0757061000,562.1100000000,USD,1.06547711,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 14:19:26,US5184391044,EL,Estee Lauder,,EOF3750129103,0.1433663000,148.4100000000,USD,1.06544780,,,20.00,EUR,,,0.03,EUR,,
Market buy,2023-09-21 14:19:39,FR0000121014,MC.PA,LVMH Moet Hennessy Louis Vuitton,,EOF3750129136,0.0273039000,730.3000000000,EUR,1.00000000,,,20.00,EUR,,,,,0.06,EUR
Market buy,2023-09-21 14:19:58,US78409V1044,SPGI,S&P Global,,EOF3750129428,0.0559023000,380.6100000000,USD,1.06544689,,,20.00,EUR,,,0.03,EUR,,
Market buy,2023-09-21 14:20:16,US8826811098,TXRH,Texas Roadhouse,,EOF3750129499,0.4297080000,99.0300000000,USD,1.06544775,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 14:20:24,US9256521090,VICI,VICI Properties,,EOF3750129516,1.4003420000,30.4000000000,USD,1.06585870,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 14:20:40,US98978V1035,ZTS,Zoetis,,EOF3750129555,0.1184946000,179.6300000000,USD,1.06585803,,,20.00,EUR,,,0.03,EUR,,
Market buy,2023-09-21 14:20:55,US92826C8394,V,Visa,,EOF3750129601,0.2665314000,239.5800000000,USD,1.06585866,,,60.00,EUR,,,0.09,EUR,,
Market buy,2023-09-21 15:55:00,US0378331005,AAPL,Apple,,EOF3750146955,0.2426636000,175.5500000000,USD,1.06658975,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 15:55:32,US78409V1044,SPGI,S&P Global,,EOF3750147016,0.1131133000,376.6100000000,USD,1.06658988,,,40.00,EUR,,,0.06,EUR,,
Market buy,2023-09-21 15:55:48,US92826C8394,V,Visa,,EOF3750147051,0.3588256000,237.4100000000,USD,1.06645951,,,80.00,EUR,,,0.12,EUR,,
Interest on cash,2023-09-21 21:09:29,,,,Interest on cash,98ce83e4-82d5-42cc-ae02-40ea224ce462,,,,,,,0.02,EUR,,,,,,
Deposit,2023-09-22 07:00:18,,,,Bank Transfer,6b7845c5-b8e8-4141-a52b-dc81b6762dc1,,,,,,,1000.00,EUR,,,,,,
Market buy,2023-09-22 14:20:17,US0378331005,AAPL,Apple,,EOF3751488066,0.1824688000,174.9800000000,USD,1.06605644,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-22 14:20:58,US92826C8394,V,Visa,,EOF3751488300,0.4505544000,236.2600000000,USD,1.06607894,,,100.00,EUR,,,0.15,EUR,,
Market buy,2023-09-22 14:21:26,US98978V1035,ZTS,Zoetis,,EOF3751488440,0.3021386000,176.1400000000,USD,1.06607958,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-22 14:21:27,US9256521090,VICI,VICI Properties,,EOF3751488445,1.7686500000,30.0900000000,USD,1.06607929,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-22 14:22:15,US78409V1044,SPGI,S&P Global,,EOF3751488789,0.1430823000,371.9200000000,USD,1.06600899,,,49.99,EUR,,,0.07,EUR,,
Market buy,2023-09-22 14:22:54,US8826811098,TXRH,Texas Roadhouse,,EOF3751489101,0.3315240000,96.3000000000,USD,1.06596865,,,29.99,EUR,,,0.04,EUR,,
Market buy,2023-09-22 14:23:02,US6541061031,NKE,Nike,,EOF3751489145,0.5825830000,91.3400000000,USD,1.06596817,,,49.99,EUR,,,0.07,EUR,,
Interest on cash,2023-09-22 21:09:19,,,,Interest on cash,2cccb1a3-4bc5-41dd-8eca-39efa4f62c02,,,,,,,0.04,EUR,,,,,,
